iteration,true_gamma_res_self,recovered_gamma_res_self,recovered_adj_r2,noise_sd
1,0.6746770575570555,0.6001143824199181,0.6030153809950838,0.20950654599086785
2,0.6746770575570555,0.5352084450844252,0.6996380859364282,0.20950654599086785
3,0.6746770575570555,0.554746252371119,0.6961687894224038,0.20950654599086785
4,0.6746770575570555,0.5983003512862811,0.6005538081847145,0.20950654599086785
5,0.6746770575570555,0.7220832991424126,0.6632269793985102,0.20950654599086785
6,0.6746770575570555,0.610654647271783,0.6594012070569094,0.20950654599086785
7,0.6746770575570555,0.6728831459752126,0.6125310808749131,0.20950654599086785
8,0.6746770575570555,0.6509071513954365,0.7181155458492836,0.20950654599086785
9,0.6746770575570555,0.5677386517471489,0.6010396585495739,0.20950654599086785
10,0.6746770575570555,0.7068407369850555,0.6953542495091619,0.20950654599086785
11,0.6746770575570555,0.6917433024948478,0.6336389294241018,0.20950654599086785
12,0.6746770575570555,0.699387881754455,0.6588207796969965,0.20950654599086785
13,0.6746770575570555,0.6950167756804045,0.5659833350783416,0.20950654599086785
14,0.6746770575570555,0.6550127879465741,0.6608045319301007,0.20950654599086785
15,0.6746770575570555,0.5669039806666534,0.7341287307059519,0.20950654599086785
16,0.6746770575570555,0.6064623483609467,0.6736882920526472,0.20950654599086785
17,0.6746770575570555,0.5531219767744434,0.5152333344532473,0.20950654599086785
18,0.6746770575570555,0.56581651294993,0.78098645977548,0.20950654599086785
19,0.6746770575570555,0.6616136496030396,0.6430021156851577,0.20950654599086785
20,0.6746770575570555,0.691973866111433,0.6298862106417773,0.20950654599086785
21,0.6746770575570555,0.647323611634531,0.5459795500414755,0.20950654599086785
22,0.6746770575570555,0.6610723154286473,0.689934803739537,0.20950654599086785
23,0.6746770575570555,0.6731063440977358,0.7026085898136145,0.20950654599086785
24,0.6746770575570555,0.5696130275915897,0.5756923341286466,0.20950654599086785
25,0.6746770575570555,0.727934494614915,0.6198343352904956,0.20950654599086785
26,0.6746770575570555,0.7253240260559431,0.7108973010489319,0.20950654599086785
27,0.6746770575570555,0.6240680600967123,0.721318199770473,0.20950654599086785
28,0.6746770575570555,0.6781001330099701,0.5037978977338493,0.20950654599086785
29,0.6746770575570555,0.6407617047031375,0.6109600750744181,0.20950654599086785
30,0.6746770575570555,0.5578951565498012,0.6117035376658668,0.20950654599086785
31,0.6746770575570555,0.5834420596928941,0.6903054598402751,0.20950654599086785
32,0.6746770575570555,0.5667180053238198,0.6748798801728242,0.20950654599086785
33,0.6746770575570555,0.46167766910989194,0.7382191416664652,0.20950654599086785
34,0.6746770575570555,0.6176377862058713,0.7768991036863748,0.20950654599086785
35,0.6746770575570555,0.4917887435955984,0.5704424235466844,0.20950654599086785
36,0.6746770575570555,0.7001725799383004,0.7250385666990482,0.20950654599086785
37,0.6746770575570555,0.5735149589125007,0.662704865061281,0.20950654599086785
38,0.6746770575570555,0.7190276967356233,0.6069358614988072,0.20950654599086785
39,0.6746770575570555,0.6831062214850391,0.6389198774156334,0.20950654599086785
40,0.6746770575570555,0.5568158780707262,0.4891349112945873,0.20950654599086785
41,0.6746770575570555,0.559098615706219,0.6596585195476707,0.20950654599086785
42,0.6746770575570555,0.8280210089976813,0.547839599600757,0.20950654599086785
43,0.6746770575570555,0.5563604744954884,0.5447078882647696,0.20950654599086785
44,0.6746770575570555,0.6541857906954702,0.6014033959694762,0.20950654599086785
45,0.6746770575570555,0.6138388497154237,0.6787070015700499,0.20950654599086785
46,0.6746770575570555,0.6233714064926967,0.706786354724412,0.20950654599086785
47,0.6746770575570555,0.6393592443784428,0.587246679942429,0.20950654599086785
48,0.6746770575570555,0.5761812340771671,0.6900653283337099,0.20950654599086785
49,0.6746770575570555,0.7075416793039665,0.620512741375711,0.20950654599086785
50,0.6746770575570555,0.6884724428857765,0.6445762523845215,0.20950654599086785
