channel,model,value,n_cases,n_trials,n_participants,trial_ss,trial_eta2,trial_mean_var_unweighted,trial_mean_var_weighted,participant_ss,participant_eta2,participant_mean_var_unweighted,participant_mean_var_weighted,trial_component_var_case_weighted,participant_component_var_case_weighted,component_ratio_trial_over_participant
AI,Baseline,abs_error,287,28,87,0.8141451219264405,0.18646364242201663,0.009555158912952234,0.0028367425851095487,2.6750750435973787,0.6126723884325748,0.012779203306982446,0.009320818967238255,0.0028466612654770647,0.009353409243347478,0.30434477861660175
AI,Baseline,signed_error,287,28,87,1.9660210453912679,0.17654133576134343,0.021034145559341973,0.0068502475449173095,6.727919176803677,0.6041419755661354,0.03201978042535108,0.023442227096876923,0.006874199459410027,0.023524192925886978,0.2922182912318058
AI,Full,abs_error,287,28,87,0.7901746099110843,0.1680630299626622,0.00930808040262351,0.002753221637320852,2.8273082924810664,0.6013430352139479,0.01347239070860074,0.00985124840585737,0.0027628482864023936,0.009885693330353376,0.2794794653319103
AI,Full,signed_error,287,28,87,2.0705433745554798,0.175177283902886,0.02266585055740377,0.007214436845141044,7.371480822622612,0.6236604384713605,0.0344111798067832,0.02568460216941677,0.007239662148795384,0.025774408470708433,0.2808856760776087
Self,Baseline,abs_error,287,28,87,0.5733913698733897,0.10666205085738915,0.00686403056640238,0.0019978793375379426,3.6600883169820406,0.6808482769712364,0.015933712511762222,0.012752920965094219,0.0020048649296272357,0.012797511597839305,0.15666052843942968
Self,Baseline,signed_error,287,28,87,1.2788936045781476,0.11473276059423362,0.007252535319422249,0.004456075277275777,6.543899323582337,0.5870696606485857,0.030139576769101128,0.02280104293931128,0.004471655960063453,0.022880766865672503,0.19543295844564446
Self,Full,abs_error,287,28,87,0.5735672204683243,0.12929511567143936,0.006987714346549941,0.00199849205738092,2.7981383667071524,0.6307641212353307,0.012261385712691043,0.009749611033822835,0.002005479791847288,0.009783700582892145,0.20498172188078664
Self,Full,signed_error,287,28,87,1.0921257328790883,0.09682112847427665,0.0065415110404437584,0.003805316142435847,6.744820316548992,0.5979541500985774,0.030449731173507463,0.02350111608553656,0.003818621443633176,0.023583287820101377,0.16192065638864603
AI,Improvement,abs_error_improvement,287,28,87,0.02579884023370384,0.09075649542625444,0.0002871090038961196,8.989142938572765e-05,0.108153192826158,0.38046689933134387,0.0003710990359862603,0.0003768403931225017,9.020573508288056e-05,0.00037815801687467827,0.23853979304311504
AI,Improvement,signed_error_change,287,28,87,0.01994775943527356,0.09678065135276599,0.00018659674755731602,6.950438827621449e-05,0.14071151289563938,0.6826908011930491,0.0005290689854566905,0.0004902840170579768,6.974741061284462e-05,0.0004919982968379,0.14176352044532484
Self,Improvement,abs_error_improvement,287,28,87,0.1650769634573815,0.07500893771447567,0.00111123117044427,0.0005751810573427924,1.3368821441701437,0.6074627699917812,0.004862297825569454,0.004658125937875063,0.000577192179920914,0.004674413091503997,0.1234790696975397
Self,Improvement,signed_error_change,287,28,87,0.08493706184640279,0.46630498729048075,0.00039310289687404263,0.0002959479506843304,0.09981498335421309,0.5479848670602101,0.00042927531102813344,0.0003477873984467354,0.0002969827337286811,0.0003490034383014443,0.8509450083760166
