model,streak_bin,label,mean_abs_delta,ci_low,ci_high,n
GT,1,1,0.14859473486287536,0.12862320285641324,0.16928112295287703,100
GT,2,2,0.09759623015873015,0.08340223214285715,0.11350132688492065,100
GT,3,3,0.09425,0.07993645833333334,0.10933593750000002,100
GT,4,4,0.09873670212765957,0.07778701241134751,0.12267287234042554,94
GT,5,5+,0.09146022992530345,0.06960865255557351,0.1132121127697874,68
ORIG-BASE,1,1,0.09757895103541497,0.09501924760771949,0.10036226983769349,100
ORIG-BASE,2,2,0.046655038261670584,0.04391374551922649,0.049346225120223415,100
ORIG-BASE,3,3,0.03883020577188492,0.03512310164780518,0.04256060407647851,100
ORIG-BASE,4,4,0.03762618900970038,0.03267496159886585,0.04229693913872752,94
ORIG-BASE,5,5+,0.039634786933269904,0.033476834207113074,0.04605768941866376,68
PHYS FULL,1,1,0.09146542694365299,0.08915483737526511,0.09387669455903913,100
PHYS FULL,2,2,0.05781284392514346,0.05517207703421968,0.06066239403699668,100
PHYS FULL,3,3,0.04688046832674333,0.04337118436909865,0.05034394465363128,100
PHYS FULL,4,4,0.04241414708584664,0.03718763658450572,0.046850792240058135,94
PHYS FULL,5,5+,0.04281244646885635,0.036984612198978396,0.04860373094601649,68
