parameter,channel,chess_mean,chess_std,truss_mean,truss_std,mean_diff_truss_minus_chess,pooled_sd,cohens_d_truss_minus_chess,bootstrap_ci_low,bootstrap_ci_high,permutation_p,tost_delta,tost_t_lower,tost_p_lower,tost_t_upper,tost_p_upper,tost_p,tost_equivalent,bic_equal,bic_independent,bf10_independent_over_equal,bf01_equal_over_independent
alpha_fast,self,0.6644606073392475,0.05836193577474293,0.6223305084323535,0.04562534052353895,-0.04213009890689401,0.052382188028298825,-0.8042829154851979,-0.056634910484337664,-0.027539699268981636,4.999750012499375e-05,0.1,7.811853805614883,1.963984530561902e-13,-19.18613187625629,2.295580791498982e-46,1.963984530561902e-13,True,-572.3533436681278,-598.91806240438,586753.0830348246,1.7042944109092115e-06
alpha_slow,self,0.3525203891893828,0.039355825699348576,0.31805801562746483,0.032671542726596184,-0.03446237356191795,0.03616843043742226,-0.9528302208619174,-0.04451864502344828,-0.024563816117136074,4.999750012499375e-05,0.1,12.81285903667248,0.0,-26.28791324649123,9.381508253949937e-66,9.381508253949937e-66,True,-707.3504900699194,-744.5138043800238,117465725.96142307,8.513121523876761e-09
alpha_a,self,0.029322112489698897,0.006011991634259021,0.025417860773418087,0.004460922961646687,-0.00390425171628081,0.005293575213414233,-0.7375453372962766,-0.005381134320107421,-0.002438871898268464,4.999750012499375e-05,0.1,128.36306752083954,0.0,-138.79353370953388,2.148165159876872e-187,2.148165159876872e-187,True,-1496.015984419714,-1518.5211425998389,77078.45591299838,1.2973793885138813e-05
omega1,self,0.2632891707916357,0.019501501607433115,0.2752948885146841,0.01984712630394563,0.01200571772304837,0.01967507290290797,0.6101994021721734,0.006536080989214506,0.01747414813438758,4.999750012499375e-05,0.1,40.253981738450406,0.0,-31.624459035411984,1.2661846602153292e-79,1.2661846602153292e-79,True,-971.9536870251206,-984.6333571784613,566.7028411546063,0.0017645932354293293
omega2,self,0.4092852259910869,0.027565797458002212,0.437662835142398,0.03139011626627366,0.0283776091513111,0.02953991019541003,0.9606531964244248,0.020181065477189584,0.03653378354232008,4.999750012499375e-05,0.1,30.730180756444316,0.0,-17.144492965239454,4.553757642093443e-41,4.553757642093443e-41,True,-786.5515576012583,-823.7297247175069,118341321.02631597,8.450133827537944e-09
omega3,self,0.15687906330219414,0.016497643885983664,0.13890140743664497,0.01685592163303587,-0.01797765586554917,0.01667774486985247,-1.0779428517368967,-0.022592370364229095,-0.013421407079893885,4.999750012499375e-05,0.1,34.77601810010172,0.0,-50.02043210399622,1.465798819580121e-114,1.465798819580121e-114,True,-1004.5806628598591,-1050.7595753735545,10656717237.973387,9.383752779295591e-11
omega4,self,0.17857378808529967,0.015555596805759757,0.12027579464155877,0.015652963810432963,-0.0582979934437409,0.015604356251285844,-3.7360075933242665,-0.06252432463150072,-0.054071212032413864,4.999750012499375e-05,0.1,18.8971407408023,0.0,-71.73226681688274,6.011871845511084e-144,6.011871845511084e-144,True,-780.7123608686602,-1077.3273406189703,2.5652191755664556e+64,3.898302373243325e-65
gamma_res,self,0.6839583254211131,0.1326042073837916,0.6678021172720484,0.11391948102041458,-0.01615620814906471,0.12361537924514937,-0.1306973958072347,-0.05033180487654559,0.017404777053906435,0.351932403379831,0.1,4.796046749216774,1.6110802368851651e-06,-6.644387046391133,1.5051812544252835e-10,1.6110802368851651e-06,True,-256.18888883967514,-251.77135618648077,0.10983606680165044,9.104477510159473
alpha_fast,AI,0.2494116187368011,0.01386905505654478,0.3326806699275175,0.027045210278542776,0.0832690511907164,0.021491790143820803,3.874458601795786,0.07739073098896997,0.08921644855714408,4.999750012499375e-05,0.1,60.29781047152058,0.0,-5.504691456393589,7.975271325886406e-08,7.975271325886406e-08,True,-642.7302769362454,-990.909491245291,4.037901716593823e+75,2.4765337796372896e-76
alpha_slow,AI,0.5315576919644416,0.051509153267460944,0.4602600574941467,0.04182972586775739,-0.07129763447029486,0.04691971246982719,-1.5195667389510208,-0.08412208398074425,-0.05844539226065852,4.999750012499375e-05,0.1,4.3256099054744,1.2273025505327162e-05,-25.815528817030305,2.4553590242724986e-64,1.2273025505327162e-05,True,-552.0837751323782,-641.2701445806509,2.325809050572279e+19,4.299579106693837e-20
alpha_a,AI,0.08443191131742792,0.010952682864835262,0.07284141517473891,0.010543091011725281,-0.011590496142689005,0.010749837906200687,-1.0782019453524423,-0.014541522075748964,-0.008550669442642446,4.999750012499375e-05,0.1,58.15432776226622,0.0,-73.402405903211,1.036691101458313e-145,1.036691101458313e-145,True,-1180.2918356351815,-1226.5324556697676,10990641965.871786,9.098649588488158e-11
omega1,AI,0.8392894956599549,0.02773083584283819,0.9611644202858218,0.03213226917933579,0.12187492462586691,0.030012347285373497,4.060826148218756,0.11353488650835908,0.13013011010691655,4.999750012499375e-05,0.1,52.2749061532633,0.0,5.153847979239321,0.9999996868820397,0.9999996868820397,False,-492.72771447804416,-817.8623366285893,4.000240825527311e+70,2.499849493106906e-71
omega2,AI,0.18450889433237472,0.045215732203116435,0.1855392310404205,0.02782369303734083,0.0010303367080457815,0.037540780045838884,0.027445799122652666,-0.009534375073300828,0.01125495462546849,0.8486575671216439,0.1,19.02976872206412,0.0,-18.64162650856989,1.0216305910112156e-42,1.0216305910112156e-42,True,-754.1274774609861,-748.876894190624,0.07241863413283027,13.808600672663887
omega3,AI,0.00036000578473553577,0.00048241379077159356,0.08307781178046308,0.035912888560552685,0.08271780599572755,0.02539653803009578,3.2570504648194203,0.07565030473955935,0.08967912386243722,4.999750012499375e-05,0.1,50.87346925395866,0.0,-4.811819847146489,2.6807747793569176e-06,2.6807747793569176e-06,True,-634.9449626772428,-1605.9148564653929,6.973221864074265e+210,1.4340573403407058e-211
omega4,AI,0.5718124366787314,0.031041083260758825,0.3187783696379308,0.018762258350840846,-0.25303406704080056,0.02564733113235234,-9.865902449460542,-0.2601736720748227,-0.2458614340620963,4.999750012499375e-05,0.1,-42.19208072710753,1.0,-97.33284976366284,1.6707275742893405e-146,1.0,False,-235.53839323298536,-902.9117137998036,8.284670606447556e+144,1.2070485931230008e-145
gamma_res,AI,0.17152326263990905,0.06642143606576947,0.0009878828221264158,0.004721128817874715,-0.17053537981778263,0.04708554038319019,-3.6218205935396837,-0.18359761011886572,-0.15756087146758718,4.999750012499375e-05,0.1,-10.592645847711005,1.0,-40.62763219094893,2.8366944930106656e-64,1.0,False,-353.96419457830575,-1026.7299432089758,1.2280784821205073e+146,8.142802064842899e-147
