Model,track,success,nfev,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma,alpha_fast,alpha_slow,gamma_res
ORIG-BASE,aiconf,True,3,0.3291556004105172,0.35354043851981143,0.043291125212285834,0.8701964050048162,0.251611204556724,0.11688094845892111,0.2922790772696289,0.29903740255560257,,,
ORIG-BASE,selfconf,True,3,0.28614040169420984,0.27510744793908753,0.11784221566861643,0.6229797300364527,0.8333195383767668,0.195385261325935,0.1881755805102117,0.2788532188185682,,,
PHYS-BASE,aiconf,True,3,0.3291556004105172,0.35354043851981143,0.043291125212285834,0.8701964050048162,0.251611204556724,0.11688094845892111,0.2922790772696289,0.29903740255560257,,,
PHYS-BASE,selfconf,True,3,0.28614040169420984,0.27510744793908753,0.11784221566861643,0.6229797300364527,0.8333195383767668,0.195385261325935,0.1881755805102117,0.2788532188185682,,,
MOD,aiconf,True,9,,,,0.9688067770486362,0.18433000239940836,0.07882653624607384,0.3189445925427504,0.17460042291233338,0.32926379909872416,0.36098218050399233,
MOD,selfconf,True,10,,,,0.5828495156009179,0.9121769249065304,0.190469747121516,0.17117633204917207,0.08968632952865035,0.2658116495805058,0.34550142013973933,
MOD+A,aiconf,True,11,,0.07256174901318604,,0.9688040879533731,0.18433076731296794,0.07882878045261012,0.31894496617800405,,0.32926541565654244,0.46301688087152404,
MOD+A,selfconf,True,13,,0.035837404773756514,,0.582848601509914,0.9121576054116791,0.19047810733559842,0.17118057598017408,,0.2658167502249704,0.3993100978323026,
MOD+A+ASYM,aiconf,True,11,,0.07256174901318604,,0.9688040879533731,0.18433076731296794,0.07882878045261012,0.31894496617800405,,0.32926541565654244,0.46301688087152404,
MOD+A+ASYM,selfconf,True,14,,0.024508338588800676,,0.309877581687146,0.4560048798436082,0.13103514809471922,0.115178147101074,,0.5588409993220003,0.2825626441358194,
MOD+A+ALIGN,aiconf,True,11,,0.07256154474839473,,0.9687907095186384,0.1843345334092232,0.07883984171972146,0.31894694002518836,,0.32927351425155404,0.46299803768902476,6.969352310770342e-31
MOD+A+ALIGN,selfconf,True,11,,0.036893664907167105,,0.5104890024311557,0.8713566361527783,0.21265785832023426,0.17919456020661448,,0.29090238313799505,0.4468411108390956,0.8294018323579918
PHYS-FULL,aiconf,True,11,,0.07256154474839473,,0.9687907095186384,0.1843345334092232,0.07883984171972146,0.31894694002518836,,0.32927351425155404,0.46299803768902476,6.969352310770342e-31
PHYS-FULL,selfconf,True,10,,0.025267664303604075,,0.27420521469692316,0.4318801057681201,0.13886828884910213,0.12155834609803139,,0.6328382230684483,0.3239467496998953,0.6613335634978464
