action,quadrant,n,share_within_action,positive_feedback_rate
accept_ai,AI_down_self_down,87,0.07538994800693241,0.12643678160919541
accept_ai,AI_down_self_up,62,0.053726169844020795,0.14516129032258066
accept_ai,AI_up_self_down,37,0.032062391681109186,0.5945945945945946
accept_ai,AI_up_self_up,103,0.08925476603119584,0.9223300970873787
accept_ai,flat_or_mixed_zero,865,0.7495667244367418,0.5098265895953757
modify,AI_down_self_down,60,0.0966183574879227,0.06666666666666667
modify,AI_down_self_up,13,0.020933977455716585,0.5384615384615384
modify,AI_up_self_down,17,0.027375201288244767,0.11764705882352941
modify,AI_up_self_up,43,0.06924315619967794,0.6744186046511628
modify,flat_or_mixed_zero,488,0.785829307568438,0.32991803278688525
reject_ai,AI_down_self_down,74,0.060408163265306125,0.013513513513513514
reject_ai,AI_down_self_up,54,0.044081632653061226,0.6296296296296297
reject_ai,AI_up_self_down,85,0.06938775510204082,0.047058823529411764
reject_ai,AI_up_self_up,44,0.035918367346938776,0.6136363636363636
reject_ai,flat_or_mixed_zero,968,0.7902040816326531,0.2675619834710744
