score,metric,n,pearson_r,pearson_p,spearman_r,spearman_p
team_score,accept_rate,100,0.4997584624636645,1.199799732670255e-07,0.42417512331547297,1.0928256833712442e-05
team_score,modify_rate,100,0.014482850507060966,0.8862782266167603,0.059781552163874506,0.5546354748480538
team_score,positive_modify_rate,100,0.14044207144623516,0.16341378877835164,0.14654504955758393,0.14569881215962535
team_score,productive_modify_ratio,97,0.1516829616169528,0.138038906854618,0.14195454537773716,0.16544156128637738
team_score,collaborative_modify_rate,100,0.021372772443434846,0.8328367593233998,0.08805779240735397,0.38364447392502316
team_score,collaborative_modify_ratio,97,0.0934337933254542,0.3626747934962464,0.09774480880882586,0.34085452742067096
team_score,conflict_modify_rate,100,0.12276928811106572,0.22365480059169218,0.07401898721113574,0.4642365182095531
team_score,self_correction_modify_rate,100,0.06230020670078422,0.538047662196692,0.06113576774370236,0.5456860833325254
team_score,partial_acceptance_modify_rate,100,-0.01634615072364687,0.8717648525668255,0.06110893397898617,0.5458627282081214
team_score,mean_delta_ai_after_modify,97,0.056582215929451146,0.581985214524115,0.020179040402763807,0.8444661065745354
team_score,mean_delta_self_after_modify,97,-0.07113043211908046,0.48871788405476696,-0.13494104791223266,0.18756301775391837
individual_score,accept_rate,100,-0.10295223587626764,0.30806522598975006,-0.1274598632658983,0.20632509136900445
individual_score,modify_rate,100,0.16385799533246675,0.10331100963802722,0.19544073462856343,0.05133467618376489
individual_score,positive_modify_rate,100,0.171891156039482,0.08725600430562314,0.22550129936915653,0.02408309385119786
individual_score,productive_modify_ratio,97,0.09890841870230574,0.3351097736216705,0.12643155952573934,0.21719439614291436
individual_score,collaborative_modify_rate,100,0.03454876304378259,0.7329184749001217,0.08335332240440531,0.40966133494067747
individual_score,collaborative_modify_ratio,97,0.07696742092930464,0.4536602974159163,0.08982179087750258,0.3816042695906857
individual_score,conflict_modify_rate,100,0.0763399786084257,0.4503062736361448,0.0629212494322232,0.5339955012362054
individual_score,self_correction_modify_rate,100,0.12711026909795362,0.20758258346805122,0.12022368634243426,0.23347744708909818
individual_score,partial_acceptance_modify_rate,100,0.039373857861618546,0.6973211298543059,0.0898844556747164,0.3738172564358751
individual_score,mean_delta_ai_after_modify,97,-0.045229815510568386,0.6600005144953462,-0.03988504099064604,0.6981018074585661
individual_score,mean_delta_self_after_modify,97,0.04312017519513931,0.6749427031584706,0.020380965805845534,0.8429295712633106
