outcome,term,coef,std_error,t,p,permutation_p,n,r2,adj_r2
team_score,intercept,-80.23532436581627,9.993638021219434,-8.028640240466292,3.3410333347417584e-12,0.0001999600079984003,100,0.6052153473169202,0.5705090042239023
team_score,condition_2,-14.993506102585194,4.308596179293148,-3.4799051660127898,0.0007719956613717736,0.01899620075984803,100,0.6052153473169202,0.5705090042239023
team_score,accept_rate,62.014628740625184,12.632121344556428,4.9092806385484264,3.998280097367279e-06,0.0009998000399920016,100,0.6052153473169202,0.5705090042239023
team_score,modify_rate,-78.03381748226997,19.224619276811588,-4.059056585655927,0.00010407737630485793,0.007398520295940812,100,0.6052153473169202,0.5705090042239023
team_score,positive_modify_rate,309.63861344219384,51.75234005026838,5.983084303848558,4.2615502228110316e-08,0.0001999600079984003,100,0.6052153473169202,0.5705090042239023
team_score,collaborative_modify_rate,-76.11610868057112,99.63538180188009,-0.763946575042229,0.44687535665050493,0.612877424515097,100,0.6052153473169202,0.5705090042239023
team_score,conflict_modify_rate,130.93947053885117,79.42316989185841,1.6486306290360446,0.10267169901163727,0.28214357128574286,100,0.6052153473169202,0.5705090042239023
team_score,mean_ai_confidence,32.372748517627016,13.903847006856525,2.3283303176209262,0.022110450668815586,0.1279744051189762,100,0.6052153473169202,0.5705090042239023
team_score,mean_self_confidence,32.61760949506958,10.178546855567346,3.204544809579451,0.001865833995307996,0.033193361327734455,100,0.6052153473169202,0.5705090042239023
individual_score,intercept,-57.64757545416351,11.183517429561062,-5.154690893742014,1.4694833266626874e-06,0.15736852629474105,100,0.08720982476703432,0.0069645346366636884
individual_score,condition_2,1.846921384953065,4.821593534381938,0.3830520701886197,0.7025744944546909,0.7030593881223756,100,0.08720982476703432,0.0069645346366636884
individual_score,accept_rate,8.164331022182761,14.136148310476734,0.5775498985202302,0.5649943284940884,0.5658868226354729,100,0.08720982476703432,0.0069645346366636884
individual_score,modify_rate,10.068430197444664,21.51357336561442,0.4680036192191689,0.6409009628982221,0.6406718656268746,100,0.08720982476703432,0.0069645346366636884
individual_score,positive_modify_rate,40.098671914288445,57.91416456588099,0.6923810818107148,0.49046109503769614,0.4973005398920216,100,0.08720982476703432,0.0069645346366636884
individual_score,collaborative_modify_rate,-64.66879857893105,111.49833790421123,-0.579997870770848,0.563349391534051,0.5614877024595081,100,0.08720982476703432,0.0069645346366636884
individual_score,conflict_modify_rate,6.753609020915615,88.87958548334585,0.0759860544374512,0.9395969990780184,0.9370125974805039,100,0.08720982476703432,0.0069645346366636884
individual_score,mean_ai_confidence,-16.62382093008351,15.559290321399578,-1.068417684013507,0.2881581906922301,0.2949410117976405,100,0.08720982476703432,0.0069645346366636884
individual_score,mean_self_confidence,23.067788555848495,11.390442191836708,2.025188150498731,0.04577790484265326,0.04459108178364327,100,0.08720982476703432,0.0069645346366636884
